關卡,原答案,修改欄位,原內容,新內容,原因
901,前仆後繼,釋義,形容奮不顧身，勇往直前。,前面的人倒下了，後面的人緊跟著繼續向前，形容英勇奮鬥、不怕犧牲。,釋義未表達前人倒下、後人接續的原意
916,肝膽相照,圖謎,🫀🟢🤝☀️,🫁🫀🤝🔦,圖謎用🟢代表「膽」牽強
937,信口開河,提示,胡說八道,隨嘴亂講,提示「胡說八道」是另一題答案
948,鶯歌燕舞,提示,春光明媚,春日鳥鳴翩翩,提示「春光明媚」是另一題答案
949,笑逐顏開,提示,眉飛色舞,樂得合不攏嘴,提示「眉飛色舞」是另一題答案
950,孺子可教,提示,少年有為,張良拾鞋,提示「少年有為」偏離原意且易誤導
973,萬水千山,圖謎,💯⛰️🌊,👂🚫🔇,重複題：與第298關「千山萬水」重複
973,萬水千山,答案,萬水千山,充耳不聞,重複題：與第298關「千山萬水」重複
973,萬水千山,提示,路途遙遠,裝聾作啞,重複題：與第298關「千山萬水」重複
973,萬水千山,釋義,形容路途遙遠而艱險。,塞住耳朵不聽，形容故意不聽別人的意見。,重複題：與第298關「千山萬水」重複
973,萬水千山,出處,,《詩經・邶風・旄丘》,重複題：與第298關「千山萬水」重複
977,一盤散沙,圖謎,1️⃣🍽️⏳,1️⃣🍽️🏜️💨,圖謎用⏳代表「沙」牽強
990,學海無涯,提示,知識廣闊沒盡頭,下句苦作舟,提示與釋義幾乎相同
991,夸父追日,圖謎,🏃‍♂️☀️💦,⏰‼️📋🏃,重複題：與第243關「夸父逐日」重複
991,夸父追日,答案,夸父追日,當務之急,重複題：與第243關「夸父逐日」重複
991,夸父追日,提示,不自量力,眼下要緊,重複題：與第243關「夸父逐日」重複
991,夸父追日,釋義,比喻人有大志，也比喻不自量力。,指當前急切應辦的事。,重複題：與第243關「夸父逐日」重複
991,夸父追日,出處,《山海經・海外北經》,《孟子・盡心上》,重複題：與第243關「夸父逐日」重複
993,單刀直入,提示,開門見山,不繞圈子說,提示「開門見山」是另一題答案
